Using GPU 3
x: torch.Size([108, 68]), edge_index: torch.Size([2, 129]) edge_attr:  torch.Size([129, 1]) y:  tensor(22430.6113)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 124]) edge_attr:  torch.Size([124, 1]) y:  tensor(1565.9393)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 117]) edge_attr:  torch.Size([117, 1]) y:  tensor(40835.6953)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 91]) edge_attr:  torch.Size([91, 1]) y:  tensor(74.1533)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(27.8062)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 87]) edge_attr:  torch.Size([87, 1]) y:  tensor(1509.2765)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 124]) edge_attr:  torch.Size([124, 1]) y:  tensor(9145.7373)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 110]) edge_attr:  torch.Size([110, 1]) y:  tensor(73.1191)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(49058.0273)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 108]) edge_attr:  torch.Size([108, 1]) y:  tensor(25.4213)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 130]) edge_attr:  torch.Size([130, 1]) y:  tensor(16076.0176)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(15836.8770)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 120]) edge_attr:  torch.Size([120, 1]) y:  tensor(335.5212)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 127]) edge_attr:  torch.Size([127, 1]) y:  tensor(35953.8359)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 129]) edge_attr:  torch.Size([129, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 123]) edge_attr:  torch.Size([123, 1]) y:  tensor(14167.9248)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(193.8892)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 130]) edge_attr:  torch.Size([130, 1]) y:  tensor(7343.3315)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 103]) edge_attr:  torch.Size([103, 1]) y:  tensor(97.8341)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 139]) edge_attr:  torch.Size([139, 1]) y:  tensor(1600.2780)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 126]) edge_attr:  torch.Size([126, 1]) y:  tensor(96.8818)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 124]) edge_attr:  torch.Size([124, 1]) y:  tensor(4436.8599)
